timestamp,message,logStreamName
1724447393741,"2024-08-23T21:09:53.741Z	25aa3614-e66d-41ca-903b-2d9354a17554	INFO	{""_logLevel"":""info"",""msg"":""sending message"",""_version"":""__"",""body"":{""MessageGroupId"":""d52d9077fa6f1ac848ae4eeb43ee11bc"",""QueueUrl"":""https://sqs.us-west-2.amazonaws.com/444248507999/prod-or-sfmam-win-autoscaler-jobs.fifo"",""MessageBody"":""{\""args\"":[{\""key\"":\""03_DEMO/03_Final_Delivery/FY25_Projects/Freeman/Winter+%2725+Release+Marketing+Demos/Industries+-+Financial/FINS+Einstein+for+Banking+and+Wealth+Management+Enhancements+-+Final_e17dafa6-6193-11ef-aa72-ba71736ee557.mp4\"",\""size\"":313147519,\""eTag\"":\""a4c9182374de4f4667a7c480f5344a8f-6\"",\""bucket\"":{\""name\"":\""prod-or-sfmam-s3-iconik-originals\""}},\""bA-Fqs7r1eLBAt7mu7PXZ\""],\""traceId\"":\""bA-Fqs7r1eLBAt7mu7PXZ\""}"",""MessageDeduplicationId"":""WMKfZIGVyDccATrNXk2zM"",""MessageAttributes"":{""id"":{""DataType"":""String"",""StringValue"":""ingest""}}},""_tags"":[""jobs"",""publisher""]}
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447393924,"2024-08-23T21:09:53.924Z	25aa3614-e66d-41ca-903b-2d9354a17554	INFO	{""_logLevel"":""info"",""msg"":""done"",""_version"":""__"",""result"":{""$metadata"":{""httpStatusCode"":200,""requestId"":""b7eae061-9a5c-59f9-bceb-bf2366bdb96d"",""attempts"":1,""totalRetryDelay"":0},""MD5OfMessageAttributes"":""0f21ac84172d38af463da420ce907545"",""MD5OfMessageBody"":""e7b76dbb648d7bfcb4110c51e520dce2"",""MessageId"":""bb3e9b08-0dd4-41f5-96bc-2b3c5f82a68d"",""SequenceNumber"":""18888202606551279616""},""_tags"":[""jobs"",""publisher""]}
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447393941,"END RequestId: 25aa3614-e66d-41ca-903b-2d9354a17554
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447393941,"REPORT RequestId: 25aa3614-e66d-41ca-903b-2d9354a17554	Duration: 224.69 ms	Billed Duration: 225 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447434943,"2024-08-23T21:10:34.943Z	042a03af-8ba2-4e06-83ed-46715a586ff8	INFO	trace id=ytnNfr_H8jL50dQFtW2YK
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447434943,"START RequestId: 042a03af-8ba2-4e06-83ed-46715a586ff8 Version: $LATEST
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447434961,"2024-08-23T21:10:34.961Z	042a03af-8ba2-4e06-83ed-46715a586ff8	INFO	{""_logLevel"":""info"",""msg"":""event"",""_version"":""__"",""_traceId"":""ytnNfr_H8jL50dQFtW2YK"",""Records"":[{""EventSource"":""aws:sns"",""EventVersion"":""1.0"",""EventSubscriptionArn"":""arn:aws:sns:us-west-2:444248507999:prod-or-sfmam-win-autoscaler-events-0:7a4a3545-faca-4bec-9cd5-0ff538835d0e"",""Sns"":{""Type"":""Notification"",""MessageId"":""4689ac9b-749b-5ec6-b0c5-f3d98991b628"",""TopicArn"":""arn:aws:sns:us-west-2:444248507999:prod-or-sfmam-win-autoscaler-events-0"",""Subject"":""Amazon S3 Notification"",""Message"":""{\""Records\"":[{\""eventVersion\"":\""2.1\"",\""eventSource\"":\""aws:s3\"",\""awsRegion\"":\""us-west-2\"",\""eventTime\"":\""2024-08-23T21:10:33.832Z\"",\""eventName\"":\""ObjectCreated:CompleteMultipartUpload\"",\""userIdentity\"":{\""principalId\"":\""AWS:AIDAWO32GIZPYN6KPXFKY\""},\""requestParameters\"":{\""sourceIPAddress\"":\""98.147.153.162\""},\""responseElements\"":{\""x-amz-request-id\"":\""M7DW3WY4PX9KHYMS\"",\""x-amz-id-2\"":\""Tlv3hE3mHBUmXawIY2KWWOD4xCT1g42Z5ec07X7E7Gk8XoczYPGnwJ3fKWBkjWSIWBURfAf5JHAwqRr5CVvjwacj6r5VXANR\""},\""s3\"":{\""s3SchemaVersion\"":\""1.0\"",\""configurationId\"":\""tf-s3-topic-20240823205651412600000003\"",\""bucket\"":{\""name\"":\""prod-or-sfmam-s3-iconik-originals\"",\""ownerIdentity\"":{\""principalId\"":\""A21MLUSAS9VVTS\""},\""arn\"":\""arn:aws:s3:::prod-or-sfmam-s3-iconik-originals\""},\""object\"":{\""key\"":\""Screenshot+2024-08-23+at+2.10.07%E2%80%AFPM_22042d5c-6194-11ef-b3d0-de799d09c4ab.png\"",\""size\"":673006,\""eTag\"":\""6680432b1660f52302611303f77cff86-1\"",\""versionId\"":\""hmDICHrcIMsKrQqQHzw9JizLmi4SVvt9\"",\""sequencer\"":\""0066C8FAC8E5EFA9FE\""}}}]}"",""Timestamp"":""2024-08-23T21:10:34.852Z"",""SignatureVersion"":""1"",""Signature"":""OWHh2pjWxocMjbEIMjjrDFDZBuZ1q6ogkYkNKMi3zcw5zB5DZzMz6MbwkOVaG74aiC3AhUPd1MSQeZMizEzN6ssSDRqWuH8cs8xTaXl5U5MStsHeFun9axyim8O0i+icCRQ+KQf1ZBJE4/jWdwmMYjH3BFPObFDieMatd6EI9Zyn7HlIfKQi3iFEB8XapVGfi7M2eW5/C04atN35j9Gg+kmE48UfOcwDcTNHf2GU/veXLQy3Qhco2BtxYztdvV0GyLlc6VXY0A1gyhcDdd3O8xIzkAZlXDIKMPF86yrpxuYsnCw36zW/fEpdRn6LpELAvZjPBfsZddlvNHbPoCHM/w=="",""SigningCertUrl"":""https://sns.us-west-2.amazonaws.com/SimpleNotificationService-60eadc530605d63b8e62a523676ef735.pem"",""UnsubscribeUrl"":""https://sns.us-west-2.amazonaws.com/?Action=Unsubscribe&SubscriptionArn=arn:aws:sns:us-west-2:444248507999:prod-or-sfmam-win-autoscaler-events-0:7a4a3545-faca-4bec-9cd5-0ff538835d0e"",""MessageAttributes"":{}}}],""_tags"":[""event"",""s3""]}
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447434962,"2024-08-23T21:10:34.962Z	042a03af-8ba2-4e06-83ed-46715a586ff8	INFO	{""_logLevel"":""info"",""msg"":""sending message"",""_version"":""__"",""body"":{""MessageGroupId"":""1e8763d8e54e2244522fdf20a4e8d870"",""QueueUrl"":""https://sqs.us-west-2.amazonaws.com/444248507999/prod-or-sfmam-win-autoscaler-jobs.fifo"",""MessageBody"":""{\""args\"":[{\""key\"":\""Screenshot+2024-08-23+at+2.10.07%E2%80%AFPM_22042d5c-6194-11ef-b3d0-de799d09c4ab.png\"",\""size\"":673006,\""eTag\"":\""6680432b1660f52302611303f77cff86-1\"",\""bucket\"":{\""name\"":\""prod-or-sfmam-s3-iconik-originals\""}},\""ytnNfr_H8jL50dQFtW2YK\""],\""traceId\"":\""ytnNfr_H8jL50dQFtW2YK\""}"",""MessageDeduplicationId"":""J0HLqeaUg7qGpN940Uhds"",""MessageAttributes"":{""id"":{""DataType"":""String"",""StringValue"":""ingest""}}},""_tags"":[""jobs"",""publisher""]}
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447434991,"2024-08-23T21:10:34.991Z	042a03af-8ba2-4e06-83ed-46715a586ff8	INFO	{""_logLevel"":""info"",""msg"":""done"",""_version"":""__"",""result"":{""$metadata"":{""httpStatusCode"":200,""requestId"":""1ee3e618-2b98-5494-9878-b95ad6925400"",""attempts"":1,""totalRetryDelay"":0},""MD5OfMessageAttributes"":""0f21ac84172d38af463da420ce907545"",""MD5OfMessageBody"":""bad0559d214e3dbd0dd300ae0451c7df"",""MessageId"":""05ddf509-0338-489f-b1ca-18bacd4fca00"",""SequenceNumber"":""18888202617066479872""},""_tags"":[""jobs"",""publisher""]}
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447434992,"END RequestId: 042a03af-8ba2-4e06-83ed-46715a586ff8
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447434992,"REPORT RequestId: 042a03af-8ba2-4e06-83ed-46715a586ff8	Duration: 49.23 ms	Billed Duration: 50 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",2024/08/23/[$LATEST]eb49d1115ac543a9b7b19e9bf832e621
1724447782129,"INIT_START Runtime Version: nodejs:16.v40	Runtime Version ARN: arn:aws:lambda:us-west-2::runtime:98ed388ef144131e504d460a9e26eb5c938895392a4c008b9f0e431b82c3b646
",2024/08/23/[$LATEST]5f992b879de5477c87e7b04f19b9cfc8
1724447782493,"START RequestId: f95836e6-6a71-42e2-ad6a-01791eb11173 Version: $LATEST
",2024/08/23/[$LATEST]5f992b879de5477c87e7b04f19b9cfc8
1724447782497,"2024-08-23T21:16:22.497Z	f95836e6-6a71-42e2-ad6a-01791eb11173	INFO	trace id=XSC6lj2ip9wNViR8u7uAH
",2024/08/23/[$LATEST]5f992b879de5477c87e7b04f19b9cfc8
